Produto,Custo_Manufatura,Preco_Venda,Spread,Margem_Perc,Mercado_Venda,Sourcing_Insumos
Attuned Wrought Iron Greatmaul,1241.6,450.0,-791.6,-175.9,kerys-tremen,Cracked Sigil@inis_gallia-langres; Mace Grip@inis_gallia-jura; Wrought Iron Ingot@kerys-tremen; Wrought Iron Spike@ancien-tursan; Coarse Leather Band@merrie-ardbog; Iron Nails@merrie-wiht
Ironside's Sabatons of Quiet Guard II,843.31,3.0,-840.31,-28010.5,ancien-libornes,Worn Out Locket@kerys-llydaw; Sigil of Lamolon@inis_gallia-jura; Lily of the Valley@kerys-pladenn; Iron Sheet@inis_gallia-langres; Coarse Leather Band@merrie-ardbog; Bronze Buckle@inis_gallia-nones; Iron Studs@ancien-astarac
Pilgrim's Sabatons II,1281.4,2.0,-1279.4,-63970.0,merrie-ardbog,Worn Out Sigil@inis_gallia-langres; Seal of the Lost Abbot@kerys-pladenn; Cobra Lily@ancien-lavedan; Iron Sheet@inis_gallia-langres; Coarse Leather Band@merrie-ardbog; Bronze Buckle@inis_gallia-nones; Iron Studs@ancien-astarac
Cleric's Alb of Reflection II,1365.9,4.0,-1361.9,-34047.5,kerys-aven,Cracked Ethereal Crystal@inis_gallia-vitry; Rosarium of Silent Intercession@kerys-bronyr; Obsidian@kerys-vanes; Sewing Needles@kerys-dreger; Quilted Wool Padding@inis_gallia-langres; Coarse Leather Band@merrie-ardbog; Horn Buttons@kerys-aven
Warrior's Greaves of Rage II,1493.7,10.0,-1483.7,-14837.0,ancien-lavedan,Furry Collarstone@ancien-salias; The Sigil of Amatia@ancien-salias; Fly Agaric Extract@ancien-tolosa; Iron Sheet@inis_gallia-langres; Coarse Leather Band@merrie-ardbog; Bronze Buckle@inis_gallia-nones; Iron Studs@ancien-astarac
Cleric's Cap of Absolution III,1593.95,9.0,-1584.95,-17610.6,kerys-bronyr,Multifaceted Ethereal Crystal@inis_gallia-vitry; Great Saint Veridiana’s Breath@ancien-lavedan; High Mallow Extract@inis_gallia-langres; Horn Needles@kerys-tremen; Fine Linen Cloth@inis_gallia-nones; Cotton Cord@merrie-nene; Coarse Leather Band@merrie-ardbog
Pilgrim's Slippers III,1863.42,2.0,-1861.42,-93071.0,merrie-down,Cracked Sigil@inis_gallia-langres; Great Amulet of the Broken Benediction@kerys-bronyr; Cobra Lily@ancien-lavedan; Horn Needles@kerys-tremen; Fine Linen Cloth@inis_gallia-nones; Coarse Leather String@ancien-volvestre
Pilgrim's Tunic III,1874.7,3.0,-1871.7,-62390.0,merrie-ardbog,Cracked Sigil@inis_gallia-langres; Great Amulet of Justice@kerys-bronyr; Lavender Extract@inis_gallia-langres; Horn Needles@kerys-tremen; Fine Linen Cloth@inis_gallia-nones; Cotton Cord@merrie-nene; Coarse Leather Band@merrie-ardbog
Ironside's Greaves of Sacred Guard III,2244.26,15.0,-2229.26,-14861.7,ancien-astarac,Cracked Sigil@inis_gallia-langres; Great Amulet of Sanctity@inis_gallia-jura; Amber@inis_gallia-aras; Iron Wire@ancien-armanhac; Stuffed Linen Padding@merrie-shire; Coarse Linen Cloth@ancien-tursan
Vanguard's Cap of Revocation III,2247.2,10.0,-2237.2,-22372.0,merrie-yarborn,Cracked Sigil@inis_gallia-langres; Great Sigil of Carelena@kerys-pladenn; Sulfur@kerys-aven; Boiled Leather@kerys-llydaw; Stuffed Linen Padding@merrie-shire; Wool Yarn@ancien-tursan; Linseed Oil@kerys-aven
Shepherd's Smock of Blooming Fold III,2531.62,25.0,-2506.62,-10026.5,ancien-astarac,Mottled Larvae@ancien-lavedan; Great Reliquary of Choir@kerys-bronyr; Starwort Extract@inis_gallia-trecassis; Horn Needles@kerys-tremen; Cotton Wadding@merrie-down; Bronze Buckle@inis_gallia-nones; Silver Buttons@ancien-lavedan; Rough Leather Straps@inis_gallia-langres
Cleric's Alb of Cleansing III,2901.7,15.0,-2886.7,-19244.7,kerys-ewyas,Multifaceted Ethereal Crystal@inis_gallia-vitry; Great Seal of the Lost Abbot@kerys-pladenn; Sulfur@kerys-aven; Horn Needles@kerys-tremen; Cotton Wadding@merrie-down; Bronze Buckle@inis_gallia-nones; Silver Buttons@ancien-lavedan; Rough Leather Straps@inis_gallia-langres
Ironside's Harnais of Provocation III,3184.2,97.0,-3087.2,-3182.7,kerys-bronyr,Cracked Sigil@inis_gallia-langres; Great Sigil of Magalast@inis_gallia-langres; Pyrite@merrie-ardbog; Wrought Iron Lames@kerys-bronyr; Stuffed Linen Padding@merrie-shire; Wrought Iron Cuirass@kerys-bronyr; Weapons Belt@kerys-bronyr
Warrior's Greaves of Rage III,3201.41,90.0,-3111.41,-3457.1,merrie-down,Cracked Sigil@inis_gallia-langres; Great Sigil of Amatia@inis_gallia-langres; Datura Leaf Extract@inis_gallia-trecassis; Wrought Iron Lames@kerys-bronyr; Coarse Leather String@ancien-volvestre; Bronze Buckle@inis_gallia-nones
Pilgrim's Marchers III,3206.07,2.0,-3204.07,-160203.5,ancien-lavedan,Cracked Sigil@inis_gallia-langres; Great Charm of the Immaculate Grief@kerys-pladenn; Cobra Lily@ancien-lavedan; Boiled Leather@kerys-llydaw; Coarse Leather String@ancien-volvestre; Linen String@inis_gallia-langres; Glue@inis_gallia-aras; Linseed Oil@kerys-aven
Pilgrim's Sabatons III,3300.94,30.0,-3270.94,-10903.1,ancien-lavedan,Cracked Sigil@inis_gallia-langres; Great Seal of the Lost Abbot@kerys-pladenn; Cobra Lily@ancien-lavedan; Wrought Iron Lames@kerys-bronyr; Coarse Leather String@ancien-volvestre
Warrior's Cuirass of Windlash III,3384.2,100.0,-3284.2,-3284.2,kerys-dreger,Cracked Sigil@inis_gallia-langres; Great Sigil of Alcanor@inis_gallia-langres; Pyrite@merrie-ardbog; Wrought Iron Lames@kerys-bronyr; Stuffed Linen Padding@merrie-shire; Wrought Iron Cuirass@kerys-bronyr; Weapons Belt@kerys-bronyr
Pilgrim's Breastplate III,3816.7,40.0,-3776.7,-9441.7,kerys-dolavon,Cracked Sigil@inis_gallia-langres; Great Rosarium of Equilibrium@kerys-pladenn; Lavender Extract@inis_gallia-langres; Wrought Iron Lames@kerys-bronyr; Stuffed Linen Padding@merrie-shire; Wrought Iron Cuirass@kerys-bronyr; Weapons Belt@kerys-bronyr
Ironside's Helm of Warcry III,4300.94,75.0,-4225.94,-5634.6,kerys-dreger,Cracked Sigil@inis_gallia-langres; Great Charm of the Earthcall@ancien-lavedan; Wrought Iron Lames@kerys-bronyr; Coarse Leather String@ancien-volvestre; Bronze Buckle@inis_gallia-nones; Wrought Iron Studs@ancien-lavedan
Hunter's Trousers of Binding Roots II,4251.46,2.0,-4249.46,-212473.0,inis_gallia-vitry,Worn Out Sigil@inis_gallia-langres; Sigil of Pellipis@ancien-lavedan; Castor Extract@kerys-pladenn; Suede Leather@kerys-tremen; Linen String@inis_gallia-langres; Bronze Studs@kerys-aven; Coarse Leather String@ancien-volvestre
Cleric's Alb of Cleansing IV,4834.3,50.0,-4784.3,-9568.6,merrie-shire,Cubic Ethereal Crystal@kerys-bronyr; Majestic Seal of the Lost Abbot@ancien-lavedan; Citrine@ancien-gravas; Horn Needles@kerys-tremen; Heavy Quilted Wool Core@merrie-shire; Silver Buttons@ancien-lavedan; Aurum Buttons@kerys-dolavon; Leather Straps@inis_gallia-langres
Herald's Helm of the Immovable III,6106.94,100.0,-6006.94,-6006.9,kerys-dreger,Red Runic Leash@ancien-lavedan; Great Blessed Ligarius@ancien-lavedan; Rosemary@kerys-pladenn; Wrought Iron Lames@kerys-bronyr; Coarse Leather String@ancien-volvestre; Bronze Buckle@inis_gallia-nones; Wrought Iron Studs@ancien-lavedan
Herald's Greaves of the Unfallen III,7543.68,210.0,-7333.68,-3492.2,ancien-armanhac,Red Runic Leash@ancien-lavedan; The Sigil of Zagalo@ancien-lavedan; Onyx@kerys-aven; Iron Wire@ancien-armanhac; Stuffed Linen Padding@merrie-shire; Coarse Linen Cloth@ancien-tursan
Attuned Iron Battleaxe,9004.0,45.0,-8959.0,-19908.9,merrie-ulaid,Yellow Runic Leash@inis_gallia-trecassis; Axe Handle@ancien-tursan; Iron Axe Head@ancien-tursan; Bronze Nails@kerys-aven; Coarse Leather Band@merrie-ardbog
Magus' Robe of Concentration IV,11122.34,100.0,-11022.34,-11022.3,ancien-lavedan,Tattered Sigil@kerys-aven; Majestic Amulet of Martyr’s Crown@inis_gallia-langres; Soapwort@inis_gallia-trecassis; Horn Needles@kerys-tremen; Cotton Cloth@inis_gallia-ardennes; Cotton Cord@merrie-nene; Leather Straps@inis_gallia-langres; Coarse Leather String@ancien-volvestre
Trickster's Coif of the Slosh IV,11561.45,30.0,-11531.45,-38438.2,kerys-retz,Crimson Runic Leash@inis_gallia-atigny; Majestic Sigil of Ambolon@kerys-pladenn; Skullcap Extract@inis_gallia-langres; Medium Top Grain Leather@merrie-yarborn; Wool Felt@kerys-aven; Cotton Cord@merrie-nene; Linseed Oil@kerys-aven
